sample,t_ms,ch1_uv
925,219399.47,186856.4039
926,219419.28,186900.9510
927,219440.96,186875.4253
928,219459.84,186858.9744
929,219479.66,186937.1608
930,219499.49,186909.8246
931,219519.29,186803.4080
932,219559.24,186880.6779
933,219579.76,186886.7129
934,219599.63,186839.1708
935,219619.44,186857.3427
936,219639.25,186870.4185
937,219659.61,186820.9317
938,219679.45,186855.5546
939,219699.27,186820.8870
940,219719.13,186858.3262
941,219739.57,186881.3485
942,219762.65,186959.4902
943,219779.20,186955.2210
944,219799.65,186895.6983
945,219819.45,186800.3011
946,219839.26,186792.9250
947,219879.65,186906.0248
948,219899.51,186922.4533
949,219919.33,186885.5730
950,219939.16,186969.9955
951,219959.04,186827.8384
952,219979.72,186861.1872
953,219999.59,186816.6849
954,220019.41,186881.3261
955,220039.23,186813.3545
956,220059.05,186812.6839
957,220082.21,186874.7547
958,220098.74,186921.9616
959,220119.18,186919.7935
960,220139.03,186847.1056
961,220159.44,186894.5137
962,220199.43,186900.5263
963,220219.22,186855.0628
964,220239.05,186867.4904
965,220258.87,186809.4653
966,220279.52,186840.8248
967,220299.18,186842.6353
968,220318.98,186907.5224
969,220338.81,186911.8810
970,220359.25,186888.9257
971,220379.06,186891.3174
972,220401.84,186838.0979
973,220418.62,186833.4934
974,220438.94,186877.1464
975,220458.73,186815.3438
976,220479.17,186889.0598
977,220519.24,186864.8976
978,220539.17,186755.3294
979,220559.05,186882.2873
980,220578.88,186912.1045
981,220598.71,186939.0160
982,220618.73,186880.0521
983,220638.80,186860.7402
984,220658.63,186843.4176
985,220679.19,186853.5429
986,220699.04,186899.6099
987,220721.59,186828.9784
988,220738.41,186845.1834
989,220758.90,186904.7508
990,220778.73,186958.9090
991,220798.57,186907.2095
992,220838.58,186871.0220
993,220859.08,186930.4329
994,220878.92,186866.3952
995,220898.75,186828.6431
996,220919.17,186869.5244
997,220938.46,186937.1608
998,220958.95,186848.2903
999,220978.78,186895.7877
1000,220998.77,186980.3444
1001,221018.62,186855.5322
1002,221038.86,186927.5719
1003,221058.79,186840.5342
1004,221078.66,186907.2542
1005,221098.53,186851.8889
1006,221118.38,186793.0368
1007,221158.78,186818.1825
1008,221178.61,186938.6807
1009,221198.41,186792.9697
1010,221218.20,186983.7195
1011,221238.92,186852.8277
1012,221258.53,186838.4108
1013,221278.41,186904.1249
1014,221298.21,186966.7545
1015,221318.62,186909.6234
1016,221338.43,186920.8440
1017,221359.15,186971.3813
1018,221378.38,186969.2355
1019,221398.23,186927.1696
1020,221418.64,186875.8053
1021,221438.46,186893.1949
1022,221478.46,186876.6323
1023,221498.29,186889.1492
1024,221518.09,186943.3522
1025,221538.50,186890.5351
1026,221558.32,186895.8101
1027,221578.55,186909.6681
1028,221598.39,186830.3418
1029,221618.20,186813.0639
1030,221637.99,186894.7372
1031,221658.40,186849.9443
1032,221678.57,186902.7838
1033,221698.39,186950.4377
1034,221718.21,186858.7062
1035,221738.00,186859.2650
1036,221758.36,186903.6332
1037,221778.12,186880.5662
1038,221810.00,186774.3954
1039,221818.29,186911.5457
1040,221838.12,186949.8119
1041,221857.92,186909.1764
1042,221877.78,186892.1891
1043,221898.20,186881.9520
1044,221918.36,186841.9424
1045,221937.81,186805.0173
1046,221958.22,186746.8804
1047,221978.01,186865.2329
1048,221997.78,186921.6487
1049,222038.31,186918.9441
1050,222058.14,186949.6778
1051,222077.90,186875.2465
1052,222098.29,186930.3435
1053,222118.09,186923.4368
1054,222157.72,186853.0735
1055,222178.15,186790.1981
1056,222197.94,186903.4320
1057,222217.77,186902.9403
1058,222237.78,186881.4826
1059,222258.00,186886.2212
1060,222277.82,186834.9239
1061,222297.60,186913.4009
1062,222317.98,186830.1630
1063,222337.75,186908.5953
